content,date posted
"liquidh said:
			
		
	
	
		
		
			Ironically, Iâ€™ll not do anything. Changing fluid at this stage might be counterproductive. I would just baby the car and save up for an overhaul.
		
		Click to expand...
	


for me, i would spend that 150 to get this done first. hopefully, the issue can be resolved. u will never know.",07-11-19
"Sometimes change already gear slippage happens... but hard to say also...








	
		
			
				koolaid said:
			
		
	
	
		
		
			for me, i would spend that 150 to get this done first. hopefully, the issue can be resolved. u will never know. 
		
		Click to expand...",07-11-19
"liquidh said:
			
		
	
	
		
		
			Sometimes change already gear slippage happens... but hard to say also...
		
		Click to expand...
	


yup. change oil and filter. do not flush.",07-11-19
"jayz89 said:
			
		
	
	
		
		
			Bro your sg shop at where can sic?
		
		Click to expand...
	


i have 2 shops that i patronize. ubi and av. the one i went to recently was at av.  there are a few shops there, u should check around first.",07-11-19
"Yes. Can try that. Flush is no no at this stage. 








	
		
			
				koolaid said:
			
		
	
	
		
		
			yup. change oil and filter. do not flush.
		
		Click to expand...",07-11-19
anyone know in jb any workshop can do smoke/vacuum leak test?,08-11-19
Any recommended shop in jb to wrap leather on the steering wheel?,11-11-19
"Tundra said:
			
		
	
	
		
		
			Any recommended shop in jb to wrap leather on the steering wheel?
		
		Click to expand...
	


Gosford Factory JB? Remember seeing it mentioned here sometime back for seats, etc.",11-11-19
Problem solved?,13-11-19
"where to buy car electronics e.g. grounding system in JB?



thanks",17-11-19
"Whispers said:
			
		
	
	
		
		
			where to buy car electronics e.g. grounding system in JB?



thanks
		
		Click to expand...
	


For cars? You can drive in any workshops at your convenience to get it installed.",18-11-19
"hanabeshi said:
			
		
	
	
		
		
			Thanks TSmonster, will replace the expansion tank as recommend.
		
		Click to expand...
	


Hi all,  have replace the coolant reservoir with the cap. Heater bypass not done as Carclick didnâ€™t order the parts . Problems of coolant leaking  still persist. Appreciate if anyone could recommend  me honest and experience workshop in such issue.



I also encounter on slow cranking. It happens approx 1 out of 8 time.

Usually , the car will crank well but occasionally, will encounter slow and weak crank. It happens on both occasions when the engine is cold or warm. I have replace the sparks plug , recon starter motor and also the battery but problem still persists.



Appreciate if anyone who has encounter such problems before could provide any insight or solution.",18-11-19
"hanabeshi said:
			
		
	
	
		
		
			Hi all,  have replace the coolant reservoir with the cap. Heater bypass not done as Carclick didnâ€™t order the parts . Problems of coolant leaking  still persist. Appreciate if anyone could recommend  me honest and experience workshop in such issue.



I also encounter on slow cranking. It happens approx 1 out of 8 time.

Usually , the car will crank well but occasionally, will encounter slow and weak crank. It happens on both occasions when the engine is cold or warm. I have replace the sparks plug , recon starter motor and also the battery but problem still persists.



Appreciate if anyone who has encounter such problems before could provide any insight or solution.
		
		Click to expand...
	


were u the one who replaced a lot parts for your cooling system already? radiator, pump, hoses, clamps, pump, cap, head gasket... what car is this again?



check your eo again to see if it turned murky in color. use a torchlight to check near the engine bay area. and area below engine. i really suspect its a warped cylinder head. replacing a new head gasket will not solve coolant leakage when the cylinder head is warped. i really cannot think of other areas causing the leak since pretty much the rest of the parts have already been replaced.



since starter and batt is new, i can only narrowed it down to either charging system not working properly, poor electrical connection (check your batt contacts for corrosion first) and/or electrical leakage. 



do you have a dashcam that continues filming when u car is parked? this could be causing the leakage. sometimes, a leakage at bulbs at the vanity mirror, foot n door area or glove compartment can cause the drainage.



are you able to see the voltage when you r driving? i used to have something that plugs into the lighter and shows the voltage. i am now using a bluetooth odb2 port connector, and i can view it on my phone. 

on a straight road, drive at a constant speed and glace at your operating voltage. if it's > 12-13V, your charging system should be fine. anyting below that is a clear indication that somewhere in the charging system is faulty. ie connecting loose, alternator about to fail... 



good luck.",18-11-19
"hanabeshi said:
			
		
	
	
		
		
			Hi all,  have replace the coolant reservoir with the cap. Heater bypass not done as Carclick didnâ€™t order the parts . Problems of coolant leaking  still persist. Appreciate if anyone could recommend  me honest and experience workshop in such issue.



I also encounter on slow cranking. It happens approx 1 out of 8 time.

Usually , the car will crank well but occasionally, will encounter slow and weak crank. It happens on both occasions when the engine is cold or warm. I have replace the sparks plug , recon starter motor and also the battery but problem still persists.



Appreciate if anyone who has encounter such problems before could provide any insight or solution.
		
		Click to expand...
	




What car bro?",18-11-19
"funky05 said:
			
		
	
	
		
		
			What car bro?
		
		Click to expand...
	


 Suzuki SX4 2009 model",18-11-19
"hanabeshi said:
			
		
	
	
		
		
			Hi all,  have replace the coolant reservoir with the cap. Heater bypass not done as Carclick didn&#146;t order the parts . Problems of coolant leaking  still persist. Appreciate if anyone could recommend  me honest and experience workshop in such issue.



I also encounter on slow cranking. It happens approx 1 out of 8 time.

Usually , the car will crank well but occasionally, will encounter slow and weak crank. It happens on both occasions when the engine is cold or warm. I have replace the sparks plug , recon starter motor and also the battery but problem still persists.



Appreciate if anyone who has encounter such problems before could provide any insight or solution.
		
		Click to expand...
	
Fuel filter?



Sent from HUAWEI EVR-L29 using GAGT",18-11-19
"koolaid said:
			
		
	
	
		
		
			were u the one who replaced a lot parts for your cooling system already? radiator, pump, hoses, clamps, pump, cap, head gasket... what car is this again?



check your eo again to see if it turned murky in color. use a torchlight to check near the engine bay area. and area below engine. i really suspect its a warped cylinder head. replacing a new head gasket will not solve coolant leakage when the cylinder head is warped. i really cannot think of other areas causing the leak since pretty much the rest of the parts have already been replaced.



since starter and batt is new, i can only narrowed it down to either charging system not working properly, poor electrical connection (check your batt contacts for corrosion first) and/or electrical leakage. 



do you have a dashcam that continues filming when u car is parked? this could be causing the leakage. sometimes, a leakage at bulbs at the vanity mirror, foot n door area or glove compartment can cause the drainage.



are you able to see the voltage when you r driving? i used to have something that plugs into the lighter and shows the voltage. i am now using a bluetooth odb2 port connector, and i can view it on my phone. 

on a straight road, drive at a constant speed and glace at your operating voltage. if it's > 12-13V, your charging system should be fine. anyting below that is a clear indication that somewhere in the charging system is faulty. ie connecting loose, alternator about to fail... 



good luck.
		
		Click to expand...
	


Thanks for your reply. As for the cylinder head, I just check it during my last service but no milky issue. As mention before, this issue has been ongoing for the past 1+ year. Also, when changing head gasket ,correct me if Iâ€™m wrong but  I believe the mechanic should have notice any crack or damage.in the cylinder head? 



As for the crank issue, I have a car camera but it doesnâ€™t operate when the car engine is off. Will try to get the voltage reader or get my mechanic to check the next time .



Appreciate your advise",18-11-19
"jfkoh said:
			
		
	
	
		
		
			Fuel filter?



Sent from HUAWEI EVR-L29 using GAGT
		
		Click to expand...
	


Can fuel filter cause coolant lost ?",18-11-19
"hanabeshi said:
			
		
	
	
		
		
			Hi all,  have replace the coolant reservoir with the cap. Heater bypass not done as Carclick didn&#146;t order the parts . Problems of coolant leaking  still persist. Appreciate if anyone could recommend  me honest and experience workshop in such issue.



I also encounter on slow cranking. It happens approx 1 out of 8 time.

Usually , the car will crank well but occasionally, will encounter slow and weak crank. It happens on both occasions when the engine is cold or warm. I have replace the sparks plug , recon starter motor and also the battery but problem still persists.



Appreciate if anyone who has encounter such problems before could provide any insight or solution.
		
		Click to expand...
	
What cap you replace? The overflow pressure cap? After driving for maybe 30minutes try open the bonnet see if there is any liquid around the overflow cap. May be just a simple overflow cap issue.



Sent from Samsung SM-N970F using GAGT",19-11-19
"Sammychan said:
			
		
	
	
		
		
			It is not W30 or W40.



The format is XXW XX



Both is referring to how stickiness at different temperature. XW is stickiness for cold weather. XX is stickiness for hot weather.  Since we dont have winter, we can ignore XW. It is irrelevant to us.



You know the difference between 30 vs 40? Don't follow manual blindly la, your car condition is not forever brand new. Agent will forever ask you to follow because anything wrong in the long run to your car is of no interest to them. It is you and only your interest. 



Generally lower number means thinner. Higher means thicker. When car is old, due to wear and tear the pressure inside is different so thicker oil is better for maintaining the pressure. 








	

	
	
		
		

		
			
		
		
	


	
		
	



		
		Click to expand...
	




its your choice. go ahead if you really think so. you should also try w50 if u think viscosity is all that matter when it comes to engine protection.",03-11-19
"koolaid said:
			
		
	
	
		
		
			its your choice. go ahead if you really think so. you should also try w50 if u think viscosity is all that matter when it comes to engine protection.
		
		Click to expand...
	
 It is not about my choice. I  am in the trade. You so stubborn even when i use facts to present to you. Can imagine you are on the same level as that ceca.",03-11-19
"Sammychan said:
			
		
	
	
		
		
			It is not about my choice. I  am in the trade. You so stubborn even when i use facts to present to you. Can imagine you are on the same level as that ceca.
		
		Click to expand...
	


If u r really in the trade, most will pity the people who patronize your biz.



And when people agree to disagree, u start your name calling. Lol. Since u cant take it heat, everyone here will either ignore u or ask u to keep your lousy opinion to yourself cos nobody don't need them.",03-11-19
"I actually change every 5-6k with fully synthetic. I donâ€™t drive alot so I change only twice a year. 








	
		
			
				koolaid said:
			
		
	
	
		
		
			jus for ur ref, iirc they also emphasized about following the intervals religiously- 10k for fully syn and 5k for semi syn or something... been using fully syn oils, so i stick to their 10k or 6m rule, which ever comes first.
		
		Click to expand...",03-11-19
"In Singapore you only need to worry about the number after W... No winters here. 








	
		
			
				Sammychan said:
			
		
	
	
		
		
			It is not W30 or W40.



The format is XXW XX



Both is referring to how stickiness at different temperature. XW is stickiness for cold weather. XX is stickiness for hot weather.  Since we dont have winter, we can ignore XW. It is irrelevant to us.



You know the difference between 30 vs 40? Don't follow manual blindly la, your car condition is not forever brand new. Agent will forever ask you to follow because anything wrong in the long run to your car is of no interest to them. It is you and only your interest. 



Generally lower number means thinner. Higher means thicker. When car is old, due to wear and tear the pressure inside is different so thicker oil is better for maintaining the pressure. 








	

	
	
		
		

		
		
	


	
		
	



		
		Click to expand...",03-11-19
"koolaid said:
			
		
	
	
		
		
			If u r really in the trade, most will pity the people who patronize your biz.



And when people agree to disagree, u start your name calling. Lol. Since u cant take it heat, everyone here will either ignore u or ask u to keep your lousy opinion to yourself cos nobody don't need them.
		
		Click to expand...
	
 Talking about yourself si bo ceca",03-11-19
"liquidh said:
			
		
	
	
		
		
			In Singapore you only need to worry about the number after W... No winters here.
		
		Click to expand...
	


he claims he knows a lot but sound so silly when he doesnt even know what he;s talking about half the time. 



i cant be bothered with idiots, so he is already on my ignore list.",04-11-19
"why are we attacking each other here, we're all adults, no need to be childish with name calling. this is a forum anyway with the intent of discussions",04-11-19
"koolaid said:
			
		
	
	
		
		
			he claims he knows a lot but sound so silly when he doesnt even know what he;s talking about half the time. 



i cant be bothered with idiots, so he is already on my ignore list.
		
		Click to expand...
	
 Chao ceca. Shoom",05-11-19
"Jeaniuz said:
			
		
	
	
		
		
			why are we attacking each other here, we're all adults, no need to be childish with name calling. this is a forum anyway with the intent of discussions 
		
		Click to expand...
	
 Some stupid cock listen to agent and bring it here onto the table. I feel like slapping his head",05-11-19
"liquidh said:
			
		
	
	
		
		
			I actually change every 5-6k with fully synthetic. I donâ€™t drive alot so I change only twice a year.
		
		Click to expand...
	


As in, so you drove 5-6k in 6 months hence you change right?



For me, 10k happens in about 4mths. I kept the leftover EO as car only uses about 3.4 litres, so always have some left. Just curious if I can mix EO of different brands, same 0w20.",05-11-19
"airxairx said:
			
		
	
	
		
		
			As in, so you drove 5-6k in 6 months hence you change right?



For me, 10k happens in about 4mths. I kept the leftover EO as car only uses about 3.4 litres, so always have some left. Just curious if I can mix EO of different brands, same 0w20.
		
		Click to expand...
	


2 school of thoughts even though most oil meets standard like api, etc.



one says it doesnt matter. eo is just eo, so long as u change it regularly.



another says its not good, cos different eo brands use different chem for their additives and may have a negative reaction when mixed. 



personally, i dont really like the idea of mixing different eo, unless its an emergency.",05-11-19
"I donâ€™t think itâ€™s a problem to mix EOs as long as you change regularly. 








	
		
			
				airxairx said:
			
		
	
	
		
		
			As in, so you drove 5-6k in 6 months hence you change right?



For me, 10k happens in about 4mths. I kept the leftover EO as car only uses about 3.4 litres, so always have some left. Just curious if I can mix EO of different brands, same 0w20.
		
		Click to expand...",05-11-19
"Hello guys need some help! I have a 10 year 1.6A Beetle (renewed 5 years) and when I purchased it, the brakes are very soft (flooring them when depressing brakes) and due to inexperience, I thought it was just the brake pads. Mech did bleeding of brakes and flushing of fluid (including changing the brake pads) but condition still remains the same. When car comes to a stop (when braking), will have the â€œeck eckâ€ sound as well. Did a major servicing when I first got the car (changing of suspensions and timing belt etc) at Autospritez for $3000 sgd. Any recommendations on workshops in JB who specialises in VW cars / Beetles? Suspect my gearbox might be the next to give me trouble as well (fingers crossed). Genuine mileage of 80k+ only but suspect car not properly maintained hence these issues. Thanks brothers in advance! Any help is appreciated!",05-11-19
"funkybeetle said:
			
		
	
	
		
		
			Hello guys need some help! I have a 10 year 1.6A Beetle (renewed 5 years) and when I purchased it, the brakes are very soft (flooring them when depressing brakes) and due to inexperience, I thought it was just the brake pads. Mech did bleeding of brakes and flushing of fluid (including changing the brake pads) but condition still remains the same. When car comes to a stop (when braking), will have the â€œeck eckâ€ sound as well. Did a major servicing when I first got the car (changing of suspensions and timing belt etc) at Autospritez for $3000 sgd. Any recommendations on workshops in JB who specialises in VW cars / Beetles? Suspect my gearbox might be the next to give me trouble as well (fingers crossed). Genuine mileage of 80k+ only but suspect car not properly maintained hence these issues. Thanks brothers in advance! Any help is appreciated!
		
		Click to expand...
	


did the $3k major servicing solve your braking issue? what was done during the major servicing? if u can, list everything that was done.",06-11-19
"funkybeetle said:
			
		
	
	
		
		
			Hello guys need some help! I have a 10 year 1.6A Beetle (renewed 5 years) and when I purchased it, the brakes are very soft (flooring them when depressing brakes) and due to inexperience, I thought it was just the brake pads. Mech did bleeding of brakes and flushing of fluid (including changing the brake pads) but condition still remains the same. When car comes to a stop (when braking), will have the â€œeck eckâ€ sound as well. Did a major servicing when I first got the car (changing of suspensions and timing belt etc) at Autospritez for $3000 sgd. Any recommendations on workshops in JB who specialises in VW cars / Beetles? Suspect my gearbox might be the next to give me trouble as well (fingers crossed). Genuine mileage of 80k+ only but suspect car not properly maintained hence these issues. Thanks brothers in advance! Any help is appreciated!
		
		Click to expand...
	




For GB stuffs, unless you are comfortable to leave your ride overnight at JB, else i would suggest get it checked out in sg. Know whats the issues and price. Checking should be FOC.

Why you think next is GB? Got engine check light on from time to time? 

Set aside another SGD$2K",06-11-19
"funkybeetle said:
			
		
	
	
		
		
			Hello guys need some help! I have a 10 year 1.6A Beetle (renewed 5 years) and when I purchased it, the brakes are very soft (flooring them when depressing brakes) and due to inexperience, I thought it was just the brake pads. Mech did bleeding of brakes and flushing of fluid (including changing the brake pads) but condition still remains the same. When car comes to a stop (when braking), will have the â€œeck eckâ€ sound as well. Did a major servicing when I first got the car (changing of suspensions and timing belt etc) at Autospritez for $3000 sgd. Any recommendations on workshops in JB who specialises in VW cars / Beetles? Suspect my gearbox might be the next to give me trouble as well (fingers crossed). Genuine mileage of 80k+ only but suspect car not properly maintained hence these issues. Thanks brothers in advance! Any help is appreciated!
		
		Click to expand...
	




Edge performance services at Mount Austin 

Prepare for long wait and make appt before going down 



Business to good over there serving all volks Audi. Conti cars.",06-11-19
"WhooHoo said:
			
		
	
	
		
		
			Good day Bros,



In general the body kit is fits relatively but do need some alterations and fitting.

Would like to check and get intro to jb workshops that does body kit cutting and fitting?

Maybe looking at whole body respray also.



Price is a big factor. Cheap and good workmanship!

Any kind intros?



Thanks!
		
		Click to expand...
	


For bodykits and etc can try below 2 WS



A PERFECT MOTOR SPORTS



Arashi aerodynamics 



Will be heading to arshi to replace 1 of my side skirt as I damage it quite badly. 



Quote five by the boss was 400RM With spray n install. 



I nego with the boss to go down his shop put deposit and take colour sample of my car. 



Then next trip go down just fix and install. 



This will save lots of time. 



I compare with BTS he quote me 380RM BASED On photo I send him 

He say no need replace just help me do up n spray back. 



I decided to try arashi instead.",06-11-19
"anyone keen to do sonax coating and air con flushing/maintenance?



dont say never share. 

cheap and good



AAR impulse garage

233 Jalan sutera,

taman sentosa",06-11-19
"Thanks for the heads up. Always passby and tot typical ac shop. Din know they are into coating.



How's the pricing like?",06-11-19
"You are right. If you want to go Jb make sure you get JB price. Kenna chopped by JHK. Might as well save time and do in Singapore. 



Change oil. Max you pay is rm20. Oil chane is so easy even your maid can do (if you jack up the car). 



Wheel alignment plus balancing should be rm50. 



Just drive into a random shop and ask for prices. If cannot get these prices, drive off. 








	
		
			
				Sammychan said:
			
		
	
	
		
		
			Definitely can save alot if one just throw car to workshop type in singapore. But if one already buy this buy that ownself then the labour is already very small cost...



Plus..those workshop you guys mentioned....are actually double charge you guys...i saw a few of the prices mentioned...they already treated you sinkies like caishenye then you all kept promoting them lol. The rambo and another shop...famous for ketok sinkies...



There are cheap workshops..but unknown ones....just randomly walk into one those kind..for eg...aircon topup gas...rm20...wheel alignment..rm20...all wheels balancing ...rm20.....these shops you guys go are already charging you guys in the region of something like rm50.
		
		Click to expand...",01-11-19
"koolaid said:
			
		
	
	
		
		
			No need to quarrel la. Come on, all adults here.



It's a freedom of choice. If u like to service ur car in msia, just go and then share the good n reliable places. 



If u prefer to do it in sg, just do it by all means. nothing what mah. 



May be the mods can consider starting another thread on reliable ws in sg. After all, this thread is more for those who like or thinking of going to msia to do up their rides. Just saying.
		
		Click to expand...
	
 Not quarrel la. Freedom of speech ma. It is not much cheaper la for the price mentioned. I saw one post said went rambo for compressor change rm1800. Got cheap meh? Do in sg la. Buy your own compressor $300. Get workshop to fix plus refill gas $60. Malaysia cheaper? Really? Only if you know their market rate and not convert to sgd then say cheap.",02-11-19
"I think you are in the wrong thread dude. There is one thread that focus on sg workshop. try harder and you will get that thread.Share market price dose not really help brothers here. 

I see you are in dilemma state.",02-11-19
"Sammychan said:
			
		
	
	
		
		
			Not quarrel la. Freedom of speech ma. It is not much cheaper la for the price mentioned. I saw one post said went rambo for compressor change rm1800. Got cheap meh? Do in sg la. Buy your own compressor $300. Get workshop to fix plus refill gas $60. Malaysia cheaper? Really? Only if you know their market rate and not convert to sgd then say cheap.
		
		Click to expand...
	


true la, must do homework first and ask around. but its people's choice at the end of the day ma. but sometimes, owners are ignorant or not so well informed, so get cheated easily.  



not just car repairs/servicing, some people buy home applicance oso kena cheated, buy used car oso kena cheated, buy furniture oso kena, buy food oso can kena.  last year, my parents neighbor (70+ elderly) told me she went to the mall to buy topup card for her phone, end up spending > $300+ for casing, battery and screen protection. i called and told her daughter what happened, and we hatched a plan. the follwing day, we went back to the shop in the mall and settle the score.



but life is about lessons and learning la. we all get cheated before, one way or another, so bo pian we need to learn from it lor.",02-11-19
"I think Singaporean drivers going to JB should know what is their market. If Malaysian gets something done at rm20. You should pay no more than rm20. 



But some people will pay rm50 (because they will think to themselves that in SG they need to pay $20sgd). So thereâ€™s some â€œsavingsâ€.  
			
			Â 
			
				
			
		

		

		
	

								

								
									
	
		
			
				Last edited: Nov 2, 2019",02-11-19
"Anyway, the sammychan made a good point. 



Other JB areas further away will be cheaper 

Skudai and much further.",02-11-19
"koolaid said:
			
		
	
	
		
		
			true la, must do homework first and ask around. but its people's choice at the end of the day ma. but sometimes, owners are ignorant or not so well informed, so get cheated easily.  



not just car repairs/servicing, some people buy home applicance oso kena cheated, buy used car oso kena cheated, buy furniture oso kena, buy food oso can kena.  last year, my parents neighbor (70+ elderly) told me she went to the mall to buy topup card for her phone, end up spending > $300+ for casing, battery and screen protection. i called and told her daughter what happened, and we hatched a plan. the follwing day, we went back to the shop in the mall and settle the score.



but life is about lessons and learning la. we all get cheated before, one way or another, so bo pian we need to learn from it lor. 
		
		Click to expand...
	
  Therefore since I am in the trade. I offer advice for free.",02-11-19
"liquidh said:
			
		
	
	
		
		
			I think Singaporean drivers going to JB should know what is their market. If Malaysian gets something done at rm20. You should pay no more than rm20. 



But some people will pay rm50 (because they will think to themselves that in SG they need to pay $20sgd). So thereâ€™s some savings.  
		
		Click to expand...
	
 After toll, time wasted in jam, petrol, effort, still got savings meh? To me is lose.",02-11-19
"SuperSprint said:
			
		
	
	
		
		
			Anyway, the sammychan made a good point. 



Other JB areas further away will be cheaper 

Skudai and much further.
		
		Click to expand...
	
 You guys can do an experiment....you msg this rambo guy or that LH guy...ask him for quote for a repair job...and then go to any random shop and ask(park further away).",02-11-19
"Yes. Thatâ€™s why if wanna fo in Msia. Do it at JHKâ€™s price. Donâ€™t be a carrot. 








	
		
			
				Sammychan said:
			
		
	
	
		
		
			After toll, time wasted in jam, petrol, effort, still got savings meh? To me is lose.
		
		Click to expand...",02-11-19
"liquidh said:
			
		
	
	
		
		
			Yes. Thatâ€™s why if wanna fo in Msia. Do it at JHKâ€™s price. Donâ€™t be a carrot.
		
		Click to expand...
	
 Honestly...i wont do..unless is a damn big fug job...like engine overhaul....or gear overhaul...etc risk of parts tio swap.. Worth meh? Wanna save $20 expose to this kind of high risk. Those throw your car to workshop there..good luck.",02-11-19
"Sammychan said:
			
		
	
	
		
		
			Therefore since I am in the trade. I offer advice for free.
		
		Click to expand...
	


always good to share. thats what forums are for ma.



ever asked around (jb, muar, bp, melaka, kluang...) and was quoted between rm400-rm1k for oil change and filter (my car need 6.7 qtr oil). can never understand why its so expensive there. yes, there are shops that advertise rm98, rm128... for servicing, but the minute i tell them I want w30 EO, the price becomes rm500+. lololololol. 



hence i typically do it in sg, where i buy my own 5w30 and filter, go to my mech and pay 20-30$ for labor depending on which mech i go to. all in usually about 150$. tranny oil change for my rides is usually 80$.



then a bro here recommended acma a few years ago. they carry pretty good brands of w30 oil, and it was cheaper than buying my own oil, filter and paying for labor. lololol. they usually charge me more cos their package comes with 4l EO only. but its ok la, it's usually not > than 120$ all in. 



ok must qualify here - i dont work for acma ah, i just thought that their pricing and service is quite good, and all their mechs are sinkies. so the more i will support this type of business.",02-11-19
"Actually my specialist workshop uses w40 oil for your engine although factory recommends w30. You can try w40. 








	
		
			
				koolaid said:
			
		
	
	
		
		
			always good to share. thats what forums are for ma.



ever asked around (jb, muar, bp, melaka, kluang...) and was quoted between rm400-rm1k for oil change and filter (my car need 6.7 qtr oil). can never understand why its so expensive there. yes, there are shops that advertise rm98, rm128... for servicing, but the minute i tell them I want w30 EO, the price becomes rm500+. lololololol. 



hence i typically do it in sg, where i buy my own 5w30 and filter, go to my mech and pay 20-30$ for labor depending on which mech i go to. all in usually about 150$. tranny oil change for my rides is usually 80$.



then a bro here recommended acma a few years ago. they carry pretty good brands of w30 oil, and it was cheaper than buying my own oil, filter and paying for labor. lololol. they usually charge me more cos their package comes with 4l EO only. but its ok la, it's usually not > than 120$ all in. 



ok must qualify here - i dont work for acma ah, i just thought that their pricing and service is quite good, and all their mechs are sinkies. so the more i will support this type of business.
		
		Click to expand...",02-11-19
"I donâ€™t recommend leaving car in Msia workshop unless your friends done that before and know that the shop is okay. 



I usually know what needs to be done. And what I appreciate about Msian workshops is that usually they can almost immediately fix your car. I like to watch my car fixed. In Singapore usually the workshops will tell you to park a corner and come back 3 hrs later. I donâ€™t like that. 








	
		
			
				Sammychan said:
			
		
	
	
		
		
			Honestly...i wont do..unless is a damn big fug job...like engine overhaul....or gear overhaul...etc risk of parts tio swap.. Worth meh? Wanna save $20 expose to this kind of high risk. Those throw your car to workshop there..good luck.
		
		Click to expand...",02-11-19
"liquidh said:
			
		
	
	
		
		
			Actually my specialist workshop uses w40 oil for your engine although factory recommends w30. You can try w40.
		
		Click to expand...
	


no la, i will stick to w30, based on the manufacturer recommendation. i ever wrote to toyota/lexus japan and sought clarification, ie > 100k - use w30 or w40. cos a few mechs recommended older engine better use w40 oil for better engine protection...



anyway, they emailed me with a lengthy reply, explaining quite a few things which made sense to me. in short, doesnt matter what mileage, just stick to the recommended spec in the manual, ie fully syn w20 or w30 if i really want to protect the engine. that's what i have been using till today for both v6 cars. no issues so far.",02-11-19
"liquidh said:
			
		
	
	
		
		
			I donâ€™t recommend leaving car in Msia workshop unless your friends done that before and know that the shop is okay. 



I usually know what needs to be done. And what I appreciate about Msian workshops is that usually they can almost immediately fix your car. I like to watch my car fixed. In Singapore usually the workshops will tell you to park a corner and come back 3 hrs later. I donâ€™t like that.
		
		Click to expand...
	
 True. Very true. Good to make appointment. Sometimes really busy. Usually young punk we do faster. Ah lao they ok. Young punks if come back 2 hrs later still not done..their face will change..and will ask this ask that...whether you know how to do...how come so long blah blah. You musr be quite young then lol",02-11-19
"Ok. Then I shall stick to w30. Was contemplating using w40. 








	
		
			
				koolaid said:
			
		
	
	
		
		
			no la, i will stick to w30, based on the manufacturer recommendation. i ever wrote to toyota/lexus japan and sought clarification, ie > 100k - use w30 or w40. cos a few mechs recommended older engine better use w40 oil for better engine protection...



anyway, they emailed me with a lengthy reply, explaining quite a few things which made sense to me. in short, doesnt matter what mileage, just stick to the recommended spec in the manual, ie fully syn w20 or w30 if i really want to protect the engine. that's what i have been using till today for both v6 cars. no issues so far.
		
		Click to expand...",02-11-19
"liquidh said:
			
		
	
	
		
		
			Ok. Then I shall stick to w30. Was contemplating using w40.
		
		Click to expand...
	


jus for ur ref, iirc they also emphasized about following the intervals religiously- 10k for fully syn and 5k for semi syn or something... been using fully syn oils, so i stick to their 10k or 6m rule, which ever comes first.",02-11-19
"Body kit cutting/fitting. Paint spray.



Good day Bros,



In general the body kit is fits relatively but do need some alterations and fitting.

Would like to check and get intro to jb workshops that does body kit cutting and fitting?

Maybe looking at whole body respray also.



Price is a big factor. Cheap and good workmanship!

Any kind intros?



Thanks!",02-11-19
"koolaid said:
			
		
	
	
		
		
			no la, i will stick to w30, based on the manufacturer recommendation. i ever wrote to toyota/lexus japan and sought clarification, ie > 100k - use w30 or w40. cos a few mechs recommended older engine better use w40 oil for better engine protection...



anyway, they emailed me with a lengthy reply, explaining quite a few things which made sense to me. in short, doesnt matter what mileage, just stick to the recommended spec in the manual, ie fully syn w20 or w30 if i really want to protect the engine. that's what i have been using till today for both v6 cars. no issues so far.
		
		Click to expand...
	


It is not W30 or W40.



The format is XXW XX



Both is referring to how stickiness at different temperature. XW is stickiness for cold weather. XX is stickiness for hot weather.  Since we dont have winter, we can ignore XW. It is irrelevant to us.



You know the difference between 30 vs 40? Don't follow manual blindly la, your car condition is not forever brand new. Agent will forever ask you to follow because anything wrong in the long run to your car is of no interest to them. It is you and only your interest. 



Generally lower number means thinner. Higher means thicker. When car is old, due to wear and tear the pressure inside is different so thicker oil is better for maintaining the pressure.",02-11-19
"zizou18 said:
			
		
	
	
		
		
			Did oil and coolant change at lch Bros today

Labour rm50, brought own oil

Spark plug rm 240 for 4 Denso iridium for Toyota from Indonesia 

ATF oil change rm 140 (they supply)



All in fair price I think. Any comments ?
		
		Click to expand...
	


not much saving and if you drive jap/korea car, just go for singapore workshop change their house pour with oil filter for 38-48 is cheaper. spark plug for normal jap/kor car should be maybe 5-10 bucks per plug.



seems like labour for changing oil in jb is not cheap anymore",23-10-19
"xiaozhi86 said:
			
		
	
	
		
		
			not much saving and if you drive jap/korea car, just go for singapore workshop change their house pour with oil filter for 38-48 is cheaper. spark plug for normal jap/kor car should be maybe 5-10 bucks per plug.



seems like labour for changing oil in jb is not cheap anymore
		
		Click to expand...
	
 Definitely can save alot if one just throw car to workshop type in singapore. But if one already buy this buy that ownself then the labour is already very small cost...



Plus..those workshop you guys mentioned....are actually double charge you guys...i saw a few of the prices mentioned...they already treated you sinkies like caishenye then you all kept promoting them lol. The rambo and another shop...famous for ketok sinkies...



There are cheap workshops..but unknown ones....just randomly walk into one those kind..for eg...aircon topup gas...rm20...wheel alignment..rm20...all wheels balancing ...rm20.....these shops you guys go are already charging you guys in the region of something like rm50.",23-10-19
"savoirex said:
			
		
	
	
		
		
			Hi can anyone recommend aircon workshops in JB? My car has a leak behind the dashboard, probably the evaporator or near there. 



was quoted sgd360 for labour to fix leak. total sgd500 if new evaporator. Is this normal pricing here in sinkieland? paiseh, 1st time noob in aircon problems...
		
		Click to expand...
	
 New one i can do for $360. Come my workshop. Lol",23-10-19
